RegistrationNo,ProductName,TotalContent,FirstProve,Period,Toxicity,Company,Remark,ScrapedAt
PD20260076,thiocyclam-hydrogenoxalate、abamectin-aminomethyl,23.8%,2026.01.21,2031.01.20,,"Henan Jubang Biological Pharmacy Co.,Ltd",质量浓度241.2克/升（甲氨基阿维菌素13.2克/升，杀虫环228克/升）。甲氨基阿维菌素苯甲酸盐1.5%，15.2克/升。,2026-05-03T19:12:26.721353
PD20260075,dichlorvos,90%,2026.01.21,2031.01.20,,"HENAN HANSI CROP PROTECTION CO., LTD.",质量浓度1260克/升。,2026-05-03T19:12:26.721353
PD20260074,clothianidin,1%,2026.01.21,2031.01.20,,"HENAN HANSI CROP PROTECTION CO., LTD.",,2026-05-03T19:12:26.721353
PD20260073,dichlorvos,90%,2026.01.21,2031.01.20,,Henan Changjian Biological Technology Co. LTD,质量浓度1270克/升。,2026-05-03T19:12:26.721353
PD20260072,clothianidin,8%,2026.01.21,2031.01.20,,Henan Changjian Biological Technology Co. LTD,质量浓度83克/升。,2026-05-03T19:12:28.751748
PD20260071,chlorantraniliprole、lambda-cyhalothrin,14%,2026.01.21,2031.01.20,,"Heilongjiang Punongfeng Biological Technology Development Co., Ltd.",质量浓度149克/升（高效氯氟氰菊酯50克/升，氯虫苯甲酰胺99克/升）。,2026-05-03T19:12:28.751748
PD20260070,chlorantraniliprole、abamectin-aminomethyl,11.6%,2026.01.21,2031.01.20,,"Hebei Pesticide Chemical Co,.Ltd.",质量浓度124克/升（甲氨基阿维菌素28克/升，氯虫苯甲酰胺96克/升）。甲氨基阿维菌素苯甲酸盐3%，32克/升。,2026-05-03T19:12:28.751748
PD20260069,bifenthrin、cyantraniliprole,20%,2026.01.21,2031.01.20,,"Hebei Sai Feng Biological Technology Co., Ltd.",质量浓度213克/升（联苯菊酯80克/升，溴氰虫酰胺133克/升）。,2026-05-03T19:12:28.751748
PD20260068,chlorfenapyr、clothianidin,28%,2026.01.21,2031.01.20,,"HeBei Runda Pesticide Chemical Co.,Ltd.",质量浓度338克/升（虫螨腈96克/升；噻虫胺242克/升）。,2026-05-03T19:12:28.751748
PD20260067,chlorantraniliprole、abamectin-aminomethyl,11.6%,2026.01.21,2031.01.20,,"Qingguan Chemical Co., Ltd., Shijiazhuang city",质量浓度124克/升（甲氨基阿维菌素28克/升，氯虫苯甲酰胺96克/升）。甲氨基阿维菌素苯甲酸盐3%，32克/升。,2026-05-03T19:12:28.751748
PD20260066,chlorantraniliprole、lufenuron,20%,2026.01.21,2031.01.20,,"Hebei Meibang Chemical Technology Co., Ltd",质量浓度222克/升（氯虫苯甲酰胺111克/升，虱螨脲111克/升）。,2026-05-03T19:12:28.751748
PD20260065,chlorantraniliprole、chlorfenapyr,24%,2026.01.21,2031.01.20,,"Hebei Meibang Chemical Technology Co., Ltd",质量浓度270克/升（虫螨腈180克/升，氯虫苯甲酰胺90克/升）。,2026-05-03T19:12:28.751748
PD20260064,chlorantraniliprole,30%,2026.01.21,2031.01.20,,HEBEI  ZHONGGU  PHARMACEUTICAL  CO.LTD,质量浓度345克/升。,2026-05-03T19:12:28.751748
PD20260063,spirotetramat、cyantraniliprole,0.03%,2026.01.21,2031.01.20,,"Bojia Hebei Agriculture Co., Ltd",质量浓度0.3克/升（溴氰虫酰胺0.1克/升，螺虫乙酯0.2克/升）。,2026-05-03T19:12:28.751748
PD20260062,quinalphos,25%,2026.01.21,2031.01.20,,,质量浓度245克/升。,2026-05-03T19:12:28.751748
PD20260061,abamectin、monosultap,72%,2026.01.21,2031.01.20,,"Guangxi Tianyuan  Biochemistry Co., Ltd.",,2026-05-03T19:12:28.751748
PD20260060,chlorfenapyr、lufenuron,15%,2026.01.21,2031.01.20,,"Guangxi Tianyuan  Biochemistry Co., Ltd.",质量浓度154克/升（虫螨腈123克/升，虱螨脲31克/升）。,2026-05-03T19:12:28.751748
PD20260059,chlorantraniliprole、lufenuron,10%,2026.01.21,2031.01.20,,Guangxi Shangsi Angte biotechnology factory,质量浓度106克/升（氯虫苯甲酰胺53克/升，虱螨脲53克/升）。,2026-05-03T19:12:28.751748
PD20260058,chlorantraniliprole、thiamethoxam,0.16%,2026.01.21,2031.01.20,,无,,2026-05-03T19:12:28.751748
PD20260057,chlorantraniliprole、clothianidin,0.2%,2026.01.21,2031.01.20,,"Guangxi jinsibird Agrochemical Co. , Ltd.",,2026-05-03T19:12:28.751748
PD20260056,tolfenpyrad、cyantraniliprole,15%,2026.01.21,2031.01.20,,"Guangxi jinsibird Agrochemical Co. , Ltd.",质量浓度159克/升（溴氰虫酰胺53克/升，唑虫酰胺106克/升）。,2026-05-03T19:12:28.751748
PD20260055,abamectin-aminomethyl,5%,2026.01.21,2031.01.20,,"Guangnong Pharmaceutical (Guangdong) Co., Ltd",质量浓度50克/升。甲氨基阿维菌素苯甲酸盐5.7%，57克/升。,2026-05-03T19:12:28.751748
PD20260054,abamectin、fluazinam,550克/升,2026.01.21,2031.01.20,,"Guangdong Zhuoyue Biotechnology Co., Ltd",质量分数45.4%（阿维菌素4.1%、氟啶胺41.3%）。,2026-05-03T19:12:28.751748
PD20260053,chlorantraniliprole、abamectin-aminomethyl,11.6%,2026.01.21,2031.01.20,,"Guangdong ZhenGe Biotechnology co.,Ltd",质量浓度124.3克/升（甲氨基阿维菌素27.9克/升，氯虫苯甲酰胺96.4克/升）。甲氨基阿维菌素苯甲酸盐3%，32.1克/升。,2026-05-03T19:12:28.751748
PD20260052,pymetrozine、cyantraniliprole,20%,2026.01.21,2031.01.20,,"GUANGDONG LIWEI CHEMICAL INDUSTRY CO., LTD.",质量浓度220克/升（溴氰虫酰胺55克/升，吡蚜酮165克/升）。,2026-05-03T19:12:28.751748
PD20260051,beta-cyfluthrin、cyantraniliprole,20%,2026.01.21,2031.01.20,,"GUANGDONG LIWEI CHEMICAL INDUSTRY CO., LTD.",质量浓度219克/升（高效氟氯氰菊酯55克/升，溴氰虫酰胺164克/升）。,2026-05-03T19:12:28.751748
PD20260050,chlorfenapyr、lufenuron,24%,2026.01.21,2031.01.20,,"Guangdong Kefeng Biotechnology Co., Ltd.",质量浓度268克/升（虫螨腈212克/升，虱螨脲56克/升）。,2026-05-03T19:12:28.751748
PD20260049,chlorantraniliprole,200克/升,2026.01.21,2031.01.20,,"Fujian Sinodashing Biotech Co., LTD",质量分数19%。,2026-05-03T19:12:28.751748
PD20260048,dinotefuran、pymetrozine,60%,2026.01.21,2031.01.20,,"Brightmart Cropscience Co., Ltd",,2026-05-03T19:12:28.751748
PD20260047,etoxazole、bifenazate,45%,2026.01.21,2031.01.20,,"DEZHOU XIANGLONG BIOCHEMISTARY CO., LTD.",质量浓度504克/升（联苯肼酯336克/升，乙螨唑168克/升）。,2026-05-03T19:12:28.751748
PD20260046,chlorfenapyr、clothianidin,28%,2026.01.21,2031.01.20,,"Cangzhou Runde Insecticide Co., Ltd.",质量浓度315克/升（虫螨腈90克/升，噻虫胺225克/升）。,2026-05-03T19:12:28.751748
PD20260045,etoxazole、abamectin,23%,2026.01.21,2031.01.20,,"Cangzhou Runde Insecticide Co., Ltd.",质量浓度246克/升（阿维菌素32克/升，乙螨唑214克/升）。,2026-05-03T19:12:28.751748
PD20260044,chlorfenapyr、lufenuron,24%,2026.01.21,2031.01.20,,"Cangzhou Runde Insecticide Co., Ltd.",质量浓度270克/升（虫螨腈214克/升，虱螨脲56克/升）。,2026-05-03T19:12:28.751748
PD20260043,chlorfenapyr,240克/升,2026.01.21,2031.01.20,Lowly Toxic,"BENGBU BIOAGRILAND FAITHCHEM CO., LTD",质量分数22.3%。,2026-05-03T19:12:28.751748
PD20260042,indoxacarb、chlorfenapyr,30%,2026.01.21,2031.01.20,,"Anhui Zhongbang BioEngineering Co.,Ltd",质量浓度342克/升（虫螨腈205克/升，茚虫威137克/升）。,2026-05-03T19:12:28.751748
PD20260041,dinotefuran、spirotetramat,30%,2026.01.21,2031.01.20,,"Anhui Vision Crop-protection Co.,Ltd",质量浓度354克/升（螺虫乙酯118 克/升，呋虫胺236克/升）。,2026-05-03T19:12:28.751748
PD20260040,abamectin、chlorantraniliprole,12%,2026.01.21,2031.01.20,,"Anhui Meiland Agricultural Development Co., Ltd",质量浓度127克/升（阿维菌素36克/升，氯虫苯甲酰胺91克/升）。,2026-05-03T19:12:28.751748
PD20260039,dinotefuran、cyromazine,36%,2026.01.21,2031.01.20,,"Anhui Meiland Agricultural Development Co., Ltd",质量浓度401克/升（呋虫胺67克/升，灭蝇胺334克/升）。,2026-05-03T19:12:28.751748
PD20260038,bifenthrin、thiacloprid,6%,2026.01.21,2031.01.20,,"Anhui Meiland Agricultural Development Co., Ltd",质量浓度60克/升（联苯菊酯10克/升，噻虫啉50克/升）。,2026-05-03T19:12:28.751748
PD20260037,abamectin-aminomethyl,8%,2026.01.21,2031.01.20,,"Anhui Luye Agrochemical Co.,Ltd.",甲氨基阿维菌素苯甲酸盐9.1%。,2026-05-03T19:12:28.751748
PD20260036,chlorantraniliprole、lufenuron,288克/升,2026.01.21,2031.01.20,,"Anhui Huilong Group Youngsun Pesticides Co., Ltd.",质量分数24.9%（氯虫苯甲酰胺16.6%，虱螨脲8.3%）。,2026-05-03T19:12:28.751748
PD20260035,spinosad、abamectin-aminomethyl,9.5%,2026.01.21,2031.01.20,,"ANHUI HUAXING CHEMICAL INDUSTRY CO.,LTD.",甲氨基阿维菌素苯甲酸盐4%。,2026-05-03T19:12:28.751748
PD20260034,abamectin、spinetoram,12%,2026.01.21,2031.01.20,,"ANHUI HUAXING CHEMICAL INDUSTRY CO.,LTD.",质量浓度123.9克/升（阿维菌素82.6克/升，乙基多杀菌素41.3克/升）。,2026-05-03T19:12:28.751748
PD20260033,spinetoram、abamectin-aminomethyl,5%,2026.01.21,2031.01.20,,"ANHUI HUAXING CHEMICAL INDUSTRY CO.,LTD.",质量浓度51.2克/升（甲氨基阿维菌素20.5克/升，乙基多杀菌素30.7克/升）。甲氨基阿维菌素苯甲酸盐2.3%，23.6克/升。,2026-05-03T19:12:28.751748
PD20260032,abamectin、monosultap,60%,2026.01.21,2031.01.20,,"ANHUI HUAXING CHEMICAL INDUSTRY CO.,LTD.",,2026-05-03T19:12:28.751748
PD20260031,abamectin、spinosad,5%,2026.01.21,2031.01.20,,"ANHUI HUAXING CHEMICAL INDUSTRY CO.,LTD.",质量浓度51.2克/升（阿维菌素20.5克/升，多杀霉素30.7克/升）。,2026-05-03T19:12:28.751748
PD20260030,clothianidin、flonicamid,25%,2026.01.21,2031.01.20,,,质量浓度281.5克/升（氟啶虫酰胺112.6克/升；噻虫胺168.9克/升）。,2026-05-03T19:12:28.751748
PD20260029,beta-cypermethrin,27%,2026.01.21,2031.01.20,,,,2026-05-03T19:12:28.751748
PD20260028,oligosaccharins,85%,2026.01.21,2031.01.20,,"SHANDONG VICOME GREENLAND CHEMICAL CO., LTD.",,2026-05-03T19:12:28.751748
PD20260027,14-hydroxylated brassinosteroid,95.0%,2026.01.21,2031.01.20,,"Shandong Guihe Biotechnology Co., Ltd",,2026-05-03T19:12:28.751748
PD20260026,28-homobrassinolide,95%,2026.01.21,2031.01.20,,"Shandong Guihe Biotechnology Co., Ltd",,2026-05-03T19:12:28.751748
PD20260025,28-epihomobrassinolide,92%,2026.01.21,2031.01.20,,"Shandong Guihe Biotechnology Co., Ltd",,2026-05-03T19:12:28.751748
PD20260024,aminopyralid,95%,2026.01.21,2031.01.20,,"WEIFANG NUCHLOR CHEMICAL CO., LTD.",,2026-05-03T19:12:28.751748
PD20260023,terbutryn,97%,2026.01.21,2031.01.20,,"SHANDONG WEIFANG RAINBOW CHEMICAL CO., LTD",,2026-05-03T19:12:28.751748
PD20260022,cloransulam-methyl,98%,2026.01.21,2031.01.20,,"SHANDONG AOKUN CROP SCIENCE CO.,LTD.",,2026-05-03T19:12:28.751748
PD20260021,glufosinate-p,90%,2026.01.21,2031.01.20,,"Ningxia Yongnong Biosciences Co., Ltd.",精草铵膦铵盐98.5%。,2026-05-03T19:12:28.751748
PD20260020,glufosinate-p,91%,2026.01.21,2031.01.20,,"Jiangsu Noon Crop Science Co., Ltd",,2026-05-03T19:12:28.751748
PD20260019,Pyroxasulfone,97%,2026.01.21,2031.01.20,,"GANSU LIANKAI BIOTECHNOLOGY CO., LTD.",,2026-05-03T19:12:28.751748
PD20260018,fluazinam,98%,2026.01.21,2031.01.20,,"LEAD CHEMICAL CO.,LTD.",,2026-05-03T19:12:28.751748
PD20260017,oxine-copper,98.5%,2026.01.21,2031.01.20,,"SHAANXI NUOZEN BIOLOGICAL TECHNOLOGY CO.,LTD.",,2026-05-03T19:12:28.751748
PD20260016,fluxapyroxad,98%,2026.01.21,2031.01.20,,"Shandong Longxi Plant Protection Co.,Ltd",,2026-05-03T19:12:28.751748
PD20260015,fluxapyroxad,98%,2026.01.21,2031.01.20,,"Shandong Jingbo Biotechnology Co.,Ltd.",,2026-05-03T19:12:28.751748
PD20260014,fluxapyroxad,98%,2026.01.21,2031.01.20,,"Jiangxi Zhonghe  Biotechnology Co. , Ltd.",,2026-05-03T19:12:28.751748
PD20260013,fluxapyroxad,96.8%,2026.01.21,2031.01.20,,"JIANGSU AGROCHEM LABORATORY CO.,LTD.",,2026-05-03T19:12:28.751748
PD20260012,prothioconazole,97%,2026.01.21,2031.01.20,,"GANSU LIANKAI BIOTECHNOLOGY CO., LTD.",,2026-05-03T19:12:28.751748
PD20260011,fluopyram,96%,2026.01.21,2031.01.20,,"Jostrong (Fuxin) New Materials Technology Co., Ltd.",,2026-05-03T19:12:28.751748
PD20260010,fluxapyroxad,98%,2026.01.21,2031.01.20,,"Anhui Richen Plant Protection Engineering Co., Ltd.",,2026-05-03T19:12:28.751748
PD20260009,fluxapyroxad,98%,2026.01.21,2031.01.20,,"Anhui JiuYi Agriculture Co., Ltd.",,2026-05-03T19:12:28.751748
PD20260008,cyantraniliprole,96%,2026.01.21,2031.01.20,,"Shandong Luba Chemical Co., Ltd.",,2026-05-03T19:12:28.751748
PD20260007,chlorfenapyr,98%,2026.01.21,2031.01.20,,"NINGXIA YIFAN BIOTECHNOLOGY CO., LTD.",,2026-05-03T19:12:28.751748
PD20260006,cyantraniliprole,97%,2026.01.21,2031.01.20,,"Inner Mongolia Zhonggao Chemical Co., Ltd.",,2026-05-03T19:12:28.751748
PD20260005,chlorantraniliprole,97%,2026.01.21,2031.01.20,,"LION AGREVO (INNER MONGOLIA) CO.,LTD",,2026-05-03T19:12:28.751748
PD20260004,chlorfenapyr,98%,2026.01.21,2031.01.20,,"Inner Mongolia Benxing Chemical Co.,LTD",,2026-05-03T19:12:28.751748
PD20260003,metofluthrin,97%,2026.01.21,2031.01.20,,"Hubei Universal Technology Co., Ltd",,2026-05-03T19:12:28.751748
PD20260002,clothianidin,98%,2026.01.21,2031.01.20,,"Handan Ruitian pesticide co,ltd",,2026-05-03T19:12:28.751748
PD20260001,暂无,1%,2026.01.21,2031.01.20,,"Chengdu Newsun Crop Science Co.,Ltd",,2026-05-03T19:12:28.751748
PD20110085,matrine、nicotine,0.6%,2011.01.21,2031.01.20,Moderately Toxic,"Five-Star pesticide factory in Anyang City,Henan Province",,2026-05-03T19:12:28.751748
PD20110084,mancozeb,70%,2011.01.21,2031.01.20,Lowly Toxic,"Bangnongda (Weifang) Crop Science Co., Ltd.",2023年3月28日，变更原持有人山东天威农药有限公司。2023年7月9日，变更原持有人 邦农达（潍坊）作物科学有限公司。2025年7月28日，变更原持有人山东百农思达生物科技有限公司。,2026-05-03T19:12:28.751748
PD20110083,imidacloprid,70%,2011.01.21,2031.01.20,Lowly Toxic,"JIANGSU REPONT AGROCHEMICAL CO., LTD.",,2026-05-03T19:12:28.751748
PD20110082,dimethomorph,50%,2011.01.21,2031.01.20,Lowly Toxic,ADAMA Huifeng (Jiangsu) Ltd.,,2026-05-03T19:12:28.751748
PD20110081,bifenthrin,0.2%,2011.01.21,2031.01.20,Lowly Toxic,"JiangMen  XinHui  NongDeFeng Co.,Ltd",,2026-05-03T19:12:28.751748
PD20110080,difenoconazole,250克/升,2011.01.21,2031.01.20,Lowly Toxic,"YONGNONG BIOSCIENCES CO., LTD.",,2026-05-03T19:12:28.751748
PD20110078,hexaconazole,5%,2011.01.21,2031.01.20,Lowly Toxic,"SHENZHEN NOPOSION CROP SCIENCE CO., LTD",2023年9月11日，变更原持有人深圳诺普信农化股份有限公司。,2026-05-03T19:12:28.751748
PD20110077,tebuconazole,2%,2011.01.21,2031.01.20,Lowly Toxic,HESL,,2026-05-03T19:12:28.751748
PD20110076,azadirachtin,0.3%,2011.01.21,2031.01.20,Lowly Toxic,"HAINAN NEEMTECH BIO-PESTICIDE.CO., LTD",2022年04月24日，增加茶树茶毛虫、高粱玉米螟、枸杞蚜虫、烟草烟青虫、草原蝗虫、柑橘树潜叶蛾。,2026-05-03T19:12:28.751748
EX20260046,propiconazol,500克/升,2026.01.21,2031.01.20,Lowly Toxic,"Zhejiang Sega Science and Technology Co.,Ltd",质量分数48.5%。仅限出口到柬埔寨。,2026-05-03T19:12:28.751748
EX20260045,tetramethrin、propoxur、cypermethrin,1.435%,2026.01.21,2031.01.20,,QINGYUAN LATOP FINE CHEMICALS LIMITED,仅限出口到坦桑尼亚。,2026-05-03T19:12:28.751748
EX20260044,ethephon,520克/升,2026.01.21,2031.01.20,Slightly Toxic,"Hubei Iprochem Biotech Co.,LTD",质量分数为43.04%。仅限出口到泰国。,2026-05-03T19:12:28.751748
EX20260043,glyphosate,37%,2026.01.21,2031.01.20,,"Zhejiang Jinfanda Biochemical Co.,Ltd.",质量浓度445克/升。草甘膦异丙胺盐50%，600克/升。仅限出口到乌干达。,2026-05-03T19:12:28.751748
EX20260042,pretilachlor、penoxsulam,400克/升,2026.01.21,2031.01.20,Lowly Toxic,"Shandong Sinomey Chemicals Co., Ltd.",质量分数38.6%（五氟磺草胺1.45%，丙草胺37.15%）。仅限出口印度尼西亚。,2026-05-03T19:12:28.751748
EX20260041,glufosinate-ammonium,280克/升,2026.01.21,2031.01.20,Lowly Toxic,"Shandong Eshung Industrial Co., Ltd.",质量分数24.5%。仅限出口到美国。,2026-05-03T19:12:28.751748
EX20260040,tebuthiuron,20%,2026.01.21,2031.01.20,,"SHANDONG WEIFANG RAINBOW CHEMICAL CO., LTD",仅限出口到澳大利亚。,2026-05-03T19:12:28.751748
EX20260039,isoxaflutole,240克/升,2026.01.21,2031.01.20,Lowly Toxic,"SHANDONG WEIFANG RAINBOW CHEMICAL CO., LTD",质量分数20.1%。仅限出口到塞尔维亚共和国、波斯尼亚和黑塞哥维那。,2026-05-03T19:12:28.751748
EX20260038,glyphosate,80.7%,2026.01.21,2031.01.20,,"Shandong Kesaijinong Biotechnology Co., Ltd.",草甘膦铵盐88.8%。仅限出口到喀麦隆。,2026-05-03T19:12:28.751748
EX20260037,fomesafen、clomazone、quizalofop-P-ethyl,350克/升,2026.01.21,2031.01.20,Lowly Toxic,"Shandong Binnong Technology Co., Ltd.",质量分数33.1%（异噁草松21.7%，精喹禾灵2.4%，氟磺胺草醚9%）。仅限出口到哈萨克斯坦。,2026-05-03T19:12:28.751748
EX20260036,glyphosate,550克/升,2026.01.21,2031.01.20,Lowly Toxic,"Shandong Binnong Technology Co., Ltd.",质量分数41.7%。仅限出口到澳大利亚。,2026-05-03T19:12:28.751748
EX20260035,triclopyr-butotyl,834克/升,2026.01.21,2031.01.20,Lowly Toxic,"Shandong Binnong Technology Co., Ltd.",质量分数68.5%。仅限出口到澳大利亚。,2026-05-03T19:12:28.751748
EX20260034,pendimethalin,455克/升,2026.01.21,2031.01.20,Lowly Toxic,"Shandong Binnong Technology Co., Ltd.",质量分数39%。仅限出口到泰国。,2026-05-03T19:12:28.751748
EX20260033,clomazone,500克/升,2026.01.21,2031.01.20,,"Shandong Binnong Technology Co., Ltd.",质量分数46%。仅限出口到巴西。,2026-05-03T19:12:28.751748
EX20260032,glyphosate、MCPA,30.2%,2026.01.21,2031.01.20,,"CAC NANTONG CHEMICAL CO., LTD",质量浓度318克/升（草甘膦295克/升，2甲4氯59克/升）。草甘膦异丙胺盐34%，398克/升。2甲4氯异丙胺盐6.5%，76克/升。仅限出口到日本。,2026-05-03T19:12:28.751748
EX20260031,glyphosate、MCPA,1.16%,2026.01.21,2031.01.20,,"CAC NANTONG CHEMICAL CO., LTD",质量浓度11.6克/升（草甘膦9.7克/升，2甲4氯1.9克/升）。草甘膦异丙胺盐1.3%，13克/升。2甲4氯异丙胺盐0.25%，2.5克/升。仅限出口到日本。,2026-05-03T19:12:28.751748
EX20260030,glyphosate,540克/升,2026.01.21,2031.01.20,Lowly Toxic,"CAC NANTONG CHEMICAL CO., LTD",质量分数39.5%。草甘膦钾盐48.4%，662 克/升。仅限出口到巴西。,2026-05-03T19:12:28.751748
EX20260029,clopyralid,300克/升,2026.01.21,2031.01.20,Lowly Toxic,"Lier Chemical Co., Ltd",质量分数25.9%。二氯吡啶酸三异丙醇胺盐51.7%，599克/升。仅限出口到澳大利亚。,2026-05-03T19:12:28.751748
EX20260028,glufosinate-p,200克/升,2026.01.21,2031.01.20,Lowly Toxic,"Lier Chemical Co., Ltd",质量分数18.5%.精草铵膦铵盐20%，218克/升。仅限出口到越南。,2026-05-03T19:12:28.751748
EX20260027,glufosinate-p,89克/升,2026.01.21,2031.01.20,,"Lier Chemical Co., Ltd",精草铵膦8.3%。精草铵膦钠盐9.3%，100克/升。仅限出口到印度尼西亚。,2026-05-03T19:12:30.800552
EX20260026,MCPA,750克/升,2026.01.21,2031.01.20,,"Jiangxi Tianyu Chemical Co., Ltd.",质量分数63.7%。2甲4氯二甲胺盐78%，919 克/升。仅限出口到智利。,2026-05-03T19:12:30.800552
EX20260025,dicamba,480克/升,2026.01.21,2031.01.20,Lowly Toxic,"Jiangsu Changqing Biotechnology Co., Ltd.",麦草畏质量分数为38.95%。麦草畏二甘醇胺盐58.2%，708克/升。仅限出口到美国。,2026-05-03T19:12:30.800552
EX20260024,propyzamide,89%,2026.01.21,2031.01.20,,,仅限出口到澳大利亚。,2026-05-03T19:12:30.800552
EX20260023,glyphosate,72%,2026.01.21,2031.01.20,,"Anhui Richen Plant Protection Engineering Co., Ltd.",仅限出口都巴西。,2026-05-03T19:12:30.800552
EX20260022,diuron,800克/升,2026.01.21,2031.01.20,Lowly Toxic,"ANHUI GUANGXIN CHENGCHEN TECHNOLOGY CO., LTD.",质量分数62.8%。仅限出口到菲律宾。,2026-05-03T19:12:30.800552
EX20260021,glyphosate,72%,2026.01.21,2031.01.20,,"ANHUI GUANGXIN CHENGCHEN TECHNOLOGY CO., LTD.",草甘膦铵盐79.25%。仅限出口到巴西。,2026-05-03T19:12:30.800552
EX20260020,metalaxyl,240克/升,2026.01.21,2031.01.20,,"ZHEJIANG HEBEN PESTICIDE AND CHEMICALS CO., LTD.",质量分数23.6%。仅限出口到尼加拉瓜。,2026-05-03T19:12:30.800552
EX20260019,flutriafol,500克/升,2026.01.21,2031.01.20,Lowly Toxic,sinon chemical （China）CO.LTD,质量分数43.5%。仅限出口到巴西。,2026-05-03T19:12:30.800552
EX20260018,kasugamycin,20克/升,2026.01.21,2031.01.20,Lowly Toxic,"Qingdao Rainbow Chemical Co., Ltd.",质量分数1.95%。春雷霉素盐酸盐2.2%，23克/升。仅限出口到厄瓜多尔、哥伦比亚、柬埔寨、秘鲁、墨西哥。,2026-05-03T19:12:30.800552
EX20260017,metalaxyl-M、fludioxonil,6.3%,2026.01.21,2031.01.20,,"Qingdao Rainbow Chemical Co., Ltd.",质量浓度66克/升（咯菌腈26克/升，精甲霜灵40克/升）。仅限出口到柬埔寨。,2026-05-03T19:12:30.800552
EX20260016,epoxiconazole,600克/升,2026.01.21,2031.01.20,,"Henan Xianlida Chemical Co., Ltd",质量分数52.6%。仅限出口到老挝。,2026-05-03T19:12:30.800552
EX20260015,amitraz,125克/升,2026.01.21,2031.01.20,Lowly Toxic,"ANHUI FENGCHEN BIOLOGY ENGINEERING Co., Ltd.",质量分数13.4%。仅限出口到莫桑比克。,2026-05-03T19:12:30.800552
EX20260014,tebuconazole、imidacloprid,246克/升,2026.01.21,2031.01.20,,"ANHUI SHARE WORLD BIO-TECH CO., LTD.",质量分数22.27%（戊唑醇1.17%，吡虫啉21%）。仅限出口到哥伦比亚。,2026-05-03T19:12:30.800552
EX20260013,fipronil,200克/升,2026.01.21,2031.01.20,,"Changqing (Hubei) Biotechnology Co.,Ltd.",质量分数18.7%。仅限出口到老挝。,2026-05-03T19:12:30.800552
EX20260012,chlorantraniliprole,51.7克/升,2026.01.21,2031.01.20,Lowly Toxic,"LIANYUNGANG LIBEN CROP SCIENCE CO., LTD.",质量浓度51.7克/升。仅限出口到泰国。,2026-05-03T19:12:30.800552
EX20260011,novaluron,100克/升,2026.01.21,2031.01.20,Lowly Toxic,"Jiangsu Flag Chemical Industry Co.,Ltd.",质量分数10.4%。仅限出口到巴西,2026-05-03T19:12:30.800552
EX20260010,bifenthrin,20%,2026.01.21,2031.01.20,,"Sunrise Crop Science Co.,LTD",质量浓度203克/升。仅限出口到巴拉圭。,2026-05-03T19:12:30.800552
EX20260009,bifenthrin,0.5克/升,2026.01.21,2031.01.20,,"Jiangsu Aijin Agrochemical Co., Ltd.",质量分数0.05%。仅限出口到澳大利亚。,2026-05-03T19:12:30.800552
EX20260008,chlorfenapyr,200克/升,2026.01.21,2031.01.20,Lowly Toxic,"Jiangsu Aijin Agrochemical Co., Ltd.",质量分数19%。仅限出口到印度尼西亚。,2026-05-03T19:12:30.800552
EX20260007,thiamethoxam、lambda-cyhalothrin,247克/升,2026.01.21,2031.01.20,,"Hunan Changqing Runkangbao Agrochemical Co.,Ltd",质量分数22.4%（高效氯氟氰菊酯9.6%，噻虫嗪12.8%）。仅限出口到哥伦比亚。,2026-05-03T19:12:30.800552
EX20260006,abamectin-aminomethyl,17克/升,2026.01.21,2031.01.20,Lowly Toxic,"Hubei Iprochem Biotech Co.,LTD",甲氨基阿维菌素1.7%。甲氨基阿维菌素苯甲酸盐1.9%，19.2克/升。仅限出口到泰国。,2026-05-03T19:12:30.800552
EX20260005,thiamethoxam,75%,2026.01.21,2031.01.20,,"YUN Cropcare Co., Ltd.",仅限出口到巴拉圭。,2026-05-03T19:12:30.800552
EX20260004,lufenuron、abamectin-aminomethyl,48.8%,2026.01.21,2031.01.20,,"YUN Cropcare Co., Ltd.",甲氨基阿维菌素苯甲酸盐10%。仅限出口到巴拉圭。,2026-05-03T19:12:30.800552
EX20260003,dinotefuran,20%,2026.01.21,2031.01.20,,"HEBEI XINGBAI AGRICULTURAL TECHNOLOGY CO., LTD.",仅限出口到越南。,2026-05-03T19:12:30.800552
EX20260002,暂无,95%,2026.01.21,2031.01.20,Lowly Toxic,"NINGXIA YIFAN BIOTECHNOLOGY CO., LTD.",仅限出口到老挝。,2026-05-03T19:12:30.800552
EX20260001,mancozeb,85%,2026.01.21,2031.01.20,,"LIMIN CHEMICAL CO., LTD.",仅限出口到巴西、韩国、印度尼西亚。,2026-05-03T19:12:30.800552
EX20250196,fipronil,80%,2011.01.21,2031.01.20,Moderately Toxic,"ZHEJIANG FUNONG BIOTECH CO., LTD.",1.仅限出口。2.原登记证号为PD20110079,2026-05-03T19:12:30.800552
PD20110075,abamectin、petroleum oil,30%,2011.01.20,2031.01.19,Lowly Toxic (technical material is highly toxic),,,2026-05-03T19:12:30.800552
PD85150-42,carbendazim,50%,,2031.01.18,Lowly Toxic,"Shandong SHANGNONG Agricultural Technology Co., Ltd",2022年10月24日，变更原持有人江苏粮满仓农化有限公司。,2026-05-03T19:12:30.800552
